"PUBLICATION","SCENARIO","REGION","CATEGORY","PRODUCT","FLOW","UNIT","YEAR","VALUE"
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2010,85.5
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2019,97.9
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2020,91.3
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,103
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,103
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,96.1
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,76.7
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Supply","Million barrels per day",2030,87.6
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Supply","Million barrels per day",2050,47
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2010,2.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2019,2.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2020,2.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,3
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.4
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,2.3
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2030,2.2
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Processing gains","Million barrels per day",2050,1.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2010,83.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2019,95.5
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2020,89.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2030,100.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Oil","Production","Million barrels per day",2050,99.9
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Production","Million barrels per day",2030,93.7
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Oil","Production","Million barrels per day",2050,74.4
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Production","Million barrels per day",2030,85.4
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Oil","Production","Million barrels per day",2050,45.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Crude oil","Production","Million barrels per day",2010,66.8
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Crude oil","Production","Million barrels per day",2019,65.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Crude oil","Production","Million barrels per day",2020,59.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Crude oil","Production","Million barrels per day",2030,64.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Crude oil","Production","Million barrels per day",2050,61.2
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Crude oil","Production","Million barrels per day",2030,59.9
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Crude oil","Production","Million barrels per day",2050,46.6
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Crude oil","Production","Million barrels per day",2030,53.6
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Crude oil","Production","Million barrels per day",2050,25.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight oil","Production","Million barrels per day",2010,0.7
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight oil","Production","Million barrels per day",2019,7.7
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight oil","Production","Million barrels per day",2020,7.3
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight oil","Production","Million barrels per day",2030,10.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight oil","Production","Million barrels per day",2050,10.9
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Tight oil","Production","Million barrels per day",2030,9.8
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Tight oil","Production","Million barrels per day",2050,7.8
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Tight oil","Production","Million barrels per day",2030,8.7
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Tight oil","Production","Million barrels per day",2050,6.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2010,12.7
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2019,18.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2020,18.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2030,20.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2050,21.4
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2030,19.3
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2050,17.2
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2030,18.6
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Natural gas liquids","Production","Million barrels per day",2050,11.7
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2010,2.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2019,3.8
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2020,3.3
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2030,4.1
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2050,5
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2030,3.8
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2050,2.3
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2030,3.5
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Extra-heavy oil and bitumen","Production","Million barrels per day",2050,2.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Other","Production","Million barrels per day",2010,0.6
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Other","Production","Million barrels per day",2019,0.8
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Other","Production","Million barrels per day",2020,0.9
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Other","Production","Million barrels per day",2030,1.2
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Other","Production","Million barrels per day",2050,1.4
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Other","Production","Million barrels per day",2030,0.9
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Other","Production","Million barrels per day",2050,0.5
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Other","Production","Million barrels per day",2030,1
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Other","Production","Million barrels per day",2050,0.2
"World Energy Outlook 2021","Stated Policies Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2010,50.1
"World Energy Outlook 2021","Stated Policies Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2019,60.5
"World Energy Outlook 2021","Stated Policies Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2020,58.3
"World Energy Outlook 2021","Stated Policies Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2030,63.8
"World Energy Outlook 2021","Stated Policies Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2050,56.2
"World Energy Outlook 2021","Announced Pledges Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2030,59.1
"World Energy Outlook 2021","Announced Pledges Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2050,39.1
"World Energy Outlook 2021","Sustainable Development Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2030,53.6
"World Energy Outlook 2021","Sustainable Development Scenario","NonOPEC","Energy","Oil","Production","Million barrels per day",2050,25.9
"World Energy Outlook 2021","Stated Policies Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2010,33.3
"World Energy Outlook 2021","Stated Policies Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2019,35
"World Energy Outlook 2021","Stated Policies Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2020,30.9
"World Energy Outlook 2021","Stated Policies Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2030,36.6
"World Energy Outlook 2021","Stated Policies Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2050,43.7
"World Energy Outlook 2021","Announced Pledges Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2030,34.6
"World Energy Outlook 2021","Announced Pledges Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2050,35.4
"World Energy Outlook 2021","Sustainable Development Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2030,31.7
"World Energy Outlook 2021","Sustainable Development Scenario","OPEC","Energy","Oil","Production","Million barrels per day",2050,19.6
"World Energy Outlook 2021","Stated Policies Scenario","North America","Energy","Oil","Production","Million barrels per day",2010,14.2
"World Energy Outlook 2021","Stated Policies Scenario","North America","Energy","Oil","Production","Million barrels per day",2019,24.7
"World Energy Outlook 2021","Stated Policies Scenario","North America","Energy","Oil","Production","Million barrels per day",2020,23.8
"World Energy Outlook 2021","Stated Policies Scenario","North America","Energy","Oil","Production","Million barrels per day",2030,27.7
"World Energy Outlook 2021","Stated Policies Scenario","North America","Energy","Oil","Production","Million barrels per day",2050,23.2
"World Energy Outlook 2021","Announced Pledges Scenario","North America","Energy","Oil","Production","Million barrels per day",2030,25.2
"World Energy Outlook 2021","Announced Pledges Scenario","North America","Energy","Oil","Production","Million barrels per day",2050,15.6
"World Energy Outlook 2021","Sustainable Development Scenario","North America","Energy","Oil","Production","Million barrels per day",2030,23.7
"World Energy Outlook 2021","Sustainable Development Scenario","North America","Energy","Oil","Production","Million barrels per day",2050,13.3
"World Energy Outlook 2021","Stated Policies Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2010,7.4
"World Energy Outlook 2021","Stated Policies Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2019,6.3
"World Energy Outlook 2021","Stated Policies Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2020,5.9
"World Energy Outlook 2021","Stated Policies Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2030,7.9
"World Energy Outlook 2021","Stated Policies Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2050,10.9
"World Energy Outlook 2021","Announced Pledges Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2030,7.5
"World Energy Outlook 2021","Announced Pledges Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2050,6.2
"World Energy Outlook 2021","Sustainable Development Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2030,6.7
"World Energy Outlook 2021","Sustainable Development Scenario","Central and South America","Energy","Oil","Production","Million barrels per day",2050,3.4
"World Energy Outlook 2021","Stated Policies Scenario","Europe","Energy","Oil","Production","Million barrels per day",2010,4.4
"World Energy Outlook 2021","Stated Policies Scenario","Europe","Energy","Oil","Production","Million barrels per day",2019,3.6
"World Energy Outlook 2021","Stated Policies Scenario","Europe","Energy","Oil","Production","Million barrels per day",2020,3.8
"World Energy Outlook 2021","Stated Policies Scenario","Europe","Energy","Oil","Production","Million barrels per day",2030,3.2
"World Energy Outlook 2021","Stated Policies Scenario","Europe","Energy","Oil","Production","Million barrels per day",2050,1.6
"World Energy Outlook 2021","Announced Pledges Scenario","Europe","Energy","Oil","Production","Million barrels per day",2030,2.9
"World Energy Outlook 2021","Announced Pledges Scenario","Europe","Energy","Oil","Production","Million barrels per day",2050,0.7
"World Energy Outlook 2021","Sustainable Development Scenario","Europe","Energy","Oil","Production","Million barrels per day",2030,2.6
"World Energy Outlook 2021","Sustainable Development Scenario","Europe","Energy","Oil","Production","Million barrels per day",2050,0.7
"World Energy Outlook 2021","Stated Policies Scenario","European Union","Energy","Oil","Production","Million barrels per day",2010,0.7
"World Energy Outlook 2021","Stated Policies Scenario","European Union","Energy","Oil","Production","Million barrels per day",2019,0.5
"World Energy Outlook 2021","Stated Policies Scenario","European Union","Energy","Oil","Production","Million barrels per day",2020,0.5
"World Energy Outlook 2021","Stated Policies Scenario","European Union","Energy","Oil","Production","Million barrels per day",2030,0.4
"World Energy Outlook 2021","Stated Policies Scenario","European Union","Energy","Oil","Production","Million barrels per day",2050,0.3
"World Energy Outlook 2021","Announced Pledges Scenario","European Union","Energy","Oil","Production","Million barrels per day",2030,0.3
"World Energy Outlook 2021","Announced Pledges Scenario","European Union","Energy","Oil","Production","Million barrels per day",2050,0.1
"World Energy Outlook 2021","Sustainable Development Scenario","European Union","Energy","Oil","Production","Million barrels per day",2030,0.3
"World Energy Outlook 2021","Sustainable Development Scenario","European Union","Energy","Oil","Production","Million barrels per day",2050,0.1
"World Energy Outlook 2021","Stated Policies Scenario","Africa","Energy","Oil","Production","Million barrels per day",2010,10.2
"World Energy Outlook 2021","Stated Policies Scenario","Africa","Energy","Oil","Production","Million barrels per day",2019,8.5
"World Energy Outlook 2021","Stated Policies Scenario","Africa","Energy","Oil","Production","Million barrels per day",2020,7
"World Energy Outlook 2021","Stated Policies Scenario","Africa","Energy","Oil","Production","Million barrels per day",2030,6.9
"World Energy Outlook 2021","Stated Policies Scenario","Africa","Energy","Oil","Production","Million barrels per day",2050,7.3
"World Energy Outlook 2021","Announced Pledges Scenario","Africa","Energy","Oil","Production","Million barrels per day",2030,6.5
"World Energy Outlook 2021","Announced Pledges Scenario","Africa","Energy","Oil","Production","Million barrels per day",2050,4.1
"World Energy Outlook 2021","Sustainable Development Scenario","Africa","Energy","Oil","Production","Million barrels per day",2030,6
"World Energy Outlook 2021","Sustainable Development Scenario","Africa","Energy","Oil","Production","Million barrels per day",2050,3.4
"World Energy Outlook 2021","Stated Policies Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2010,25.4
"World Energy Outlook 2021","Stated Policies Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2019,30.2
"World Energy Outlook 2021","Stated Policies Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2020,27.7
"World Energy Outlook 2021","Stated Policies Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2030,34
"World Energy Outlook 2021","Stated Policies Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2050,39.7
"World Energy Outlook 2021","Announced Pledges Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2030,32.1
"World Energy Outlook 2021","Announced Pledges Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2050,34.3
"World Energy Outlook 2021","Sustainable Development Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2030,29.3
"World Energy Outlook 2021","Sustainable Development Scenario","Middle East","Energy","Oil","Production","Million barrels per day",2050,17.9
"World Energy Outlook 2021","Stated Policies Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2010,13.4
"World Energy Outlook 2021","Stated Policies Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2019,14.6
"World Energy Outlook 2021","Stated Policies Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2020,13.4
"World Energy Outlook 2021","Stated Policies Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2030,14.4
"World Energy Outlook 2021","Stated Policies Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2050,12.5
"World Energy Outlook 2021","Announced Pledges Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2030,13.9
"World Energy Outlook 2021","Announced Pledges Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2050,10.2
"World Energy Outlook 2021","Sustainable Development Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2030,11.9
"World Energy Outlook 2021","Sustainable Development Scenario","Eurasia","Energy","Oil","Production","Million barrels per day",2050,5.1
"World Energy Outlook 2021","Stated Policies Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2010,8.4
"World Energy Outlook 2021","Stated Policies Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2019,7.7
"World Energy Outlook 2021","Stated Policies Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2020,7.5
"World Energy Outlook 2021","Stated Policies Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2030,6.2
"World Energy Outlook 2021","Stated Policies Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2050,4.7
"World Energy Outlook 2021","Announced Pledges Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2030,5.6
"World Energy Outlook 2021","Announced Pledges Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2050,3.2
"World Energy Outlook 2021","Sustainable Development Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2030,5.1
"World Energy Outlook 2021","Sustainable Development Scenario","Asia Pacific","Energy","Oil","Production","Million barrels per day",2050,1.9
"World Energy Outlook 2021","Stated Policies Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2010,2.6
"World Energy Outlook 2021","Stated Policies Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2019,2.3
"World Energy Outlook 2021","Stated Policies Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2020,2.1
"World Energy Outlook 2021","Stated Policies Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2030,1.4
"World Energy Outlook 2021","Stated Policies Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2050,0.9
"World Energy Outlook 2021","Announced Pledges Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2030,1.4
"World Energy Outlook 2021","Announced Pledges Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2050,0.8
"World Energy Outlook 2021","Sustainable Development Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2030,1.3
"World Energy Outlook 2021","Sustainable Development Scenario","Southeast Asia","Energy","Oil","Production","Million barrels per day",2050,0.4
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2010,3275
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2019,4115
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2020,4014
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2030,4554
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2050,5113
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2030,4249
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2050,3852
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2030,4038
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Natural gas","Production","Billion cubic metres",2050,2452
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2010,2771
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2019,3003
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2020,2899
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2030,3177
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2050,3634
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2030,3084
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2050,3047
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2030,2975
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Conventional gas","Production","Billion cubic metres",2050,1899
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2010,272
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2019,298
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2020,290
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2030,279
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2050,223
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2030,229
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2050,71
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2030,277
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Tight gas","Production","Billion cubic metres",2050,113
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2010,155
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2019,731
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2020,742
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2030,1013
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2050,1136
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2030,853
"World Energy Outlook 2021","Announced Pledges Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2050,650
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2030,705
"World Energy Outlook 2021","Sustainable Development Scenario","World","Energy","Shale gas","Production","Billion cubic metres",2050,373
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Coalbed methane","Production","Billion cubic metres",2010,77
"World Energy Outlook 2021","Stated Policies Scenario","World","Energy","Coalbed methane","Production","Billion cubic metres",2019,79
